OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,PropertyGFATotal - PropertyGFAParking,Densite_etage,Age,Pourc_elec,Pourc_gas,Pourc_steam
328,2016,NonResidential,Large Office,1600 Seventh,1600 7th Ave,Seattle,WA,98191.0,0659000165,7,Downtown,47.61316,-122.3343,1976,1.0,33,791396,0,791396,"Lifestyle Center, Office, Other, Parking, Restaurant",Office,622034.0,Parking,132465.0,Other,33110.0,20172015,89.0,60.29999924,62.40000153,189.5,195.8999939,40847752.0,42227404.0,0.0,11969413.0,40839637.0,5382.505371,538251.0,False,,Compliant,,313.3,0.4,791396,16.5,47,0.9998013354565999,0.013177004208211997,0.0
329,2016,NonResidential,Large Office,1700 Seventh Ave,1700 Seventh,Seattle,WA,98101.0,0659000235,7,Downtown,47.61399,-122.33523,2000,1.0,23,747747,205076,542671,"Office, Parking, Restaurant",Office,542461.0,Parking,219045.0,Restaurant,9337.0,2017201620152014201320122011201020092008,90.0,56.20000076,57.40000153,164.6000061,168.6000061,30985420.0,31693704.0,0.0,8172315.0,27883939.0,31014.76953,3101477.0,False,,Compliant,,359.11,0.48,542671,11.5,23,0.8999051489377907,0.10009472196923586,0.0
330,2016,NonResidential,Small- and Mid-Sized Office,Lloyd building,603 Stewart Street,Seattle,WA,98101.0,0659000350,7,Downtown,47.61356,-122.33665,1926,1.0,10,63409,7757,55652,"Office, Retail Store",Office,45260.0,Retail Store,6187.0,,,,90.0,66.90000153,74.40000153,131.6999969,140.6000061,3444270.0,3826622.5,2086424.75,397961.5938,1357845.0,0.0,0.0,False,,Compliant,,170.51,2.69,55652,5.0,97,0.39423303051154523,0.0,0.6057668969041335
331,2016,NonResidential,Large Office,The Tower Building,1809 7th Ave,Seattle,WA,98101.0,0659000365,7,Downtown,47.61375,-122.33566,1930,1.0,17,204790,30000,174790,"Office, Other - Recreation, Parking, Retail Store",Office,142034.0,Other - Recreation,17070.0,Retail Store,14666.0,201020092007,91.0,44.5,46.5,127.8000031,130.1000061,7739699.0,8081443.0,0.0,1974231.0,6736076.0,10036.21973,1003622.0,False,,Compliant,,100.26,0.49,174790,8.5,93,0.8703279029326593,0.12967196786334972,0.0
332,2016,NonResidential,Small- and Mid-Sized Office,Times Square Building,414 Olive Street,Seattle,WA,98101.0,0659000385,7,Downtown,47.61256,-122.33808,1916,1.0,5,73399,0,73399,"Office, Retail Store",Office,51557.0,Retail Store,9976.0,,,,61.0,61.09999847,64.90000153,191.6999969,203.6999969,3757006.0,3992167.75,0.0,1101115.25,3757005.0,0.0,0.0,False,,Compliant,,26.19,0.36,73399,2.5,107,0.9999997338306087,0.0,0.0
333,2016,NonResidential,Large Office,Plaza 600,600 Stewart Street,Seattle,WA,98101.0,0659000555,7,Downtown,47.61391,-122.33725,1969,1.0,20,265851,32334,233517,"Office, Parking",Office,226454.0,Parking,29214.0,,,201720102007,90.0,64.59999847,69.5,146.6999969,151.8000031,14633233.0,15742790.0,6568832.0,2363540.25,8064399.0,0.0,0.0,False,,Compliant,,563.25,2.12,233517,10.0,54,0.5511016601731141,0.0,0.44889820315168905
334,2016,NonResidential,Large Office,West 8th,2001 - 8th Avenue,Seattle,WA,98121.0,0659000750,7,Downtown,47.61578,-122.33726,2009,1.0,25,758043,228668,529375,"Office, Parking",Office,582725.0,Parking,191082.0,,,20162015,95.0,46.40000153,46.40000153,142.3999939,142.3999939,27018020.0,27018020.0,0.0,7658746.5,26131643.0,8863.726563,886373.0,False,,Compliant,,229.25,0.3,529375,12.5,14,0.9671931177784309,0.032806734172230234,0.0
335,2016,NonResidential,Large Office,Denny Building,2200 Sixth Avenue,Seattle,WA,98121.0,0660000080,7,Downtown,47.61641,-122.34112,1968,1.0,12,206000,0,206000,"Office, Parking",Office,161000.0,Parking,51250.0,,,,91.0,53.29999924,56.40000153,139.5,142.5,8580279.0,9075988.0,2312496.75,1836981.625,6267781.0,0.0,0.0,False,,Compliant,,222.19,1.08,206000,6.0,55,0.7304868524671517,0.0,0.26951300184993987
336,2016,NonResidential,Large Office,1918 Eighth Avenue,1918 Eighth Avenue,Seattle,WA,98101.0,0660000650,7,Downtown,47.61555,-122.33582,2009,1.0,36,824887,154972,669915,"Office, Parking",Office,743562.0,Parking,161119.0,,,20172015,97.0,53.20000076,52.90000153,166.8999939,166.1999969,39523852.0,39360016.0,0.0,11583777.0,39523847.0,0.0,0.0,False,,Compliant,,275.54,0.33,669915,18.0,14,0.9999998734941119,0.0,0.0
337,2016,NonResidential,Large Office,1800 Ninth,1800 9th Avenue,Seattle,WA,98101.0,0660001135,7,Downtown,47.61516,-122.33303,1990,1.0,16,480840,141600,339240,"Fitness Center/Health Club/Gym, Office, Other, Parking, Restaurant",Office,311736.0,Parking,123356.0,Fitness Center/Health Club/Gym,18239.0,,94.0,52.70000076,54.40000153,164.6000061,170.1000061,17867002.0,18468776.0,0.0,5197326.0,17733276.0,1337.241333,133724.0,False,,Compliant,,130.73,0.27,339240,8.0,33,0.9925154762953516,0.007484411766450801,0.0
